PO Number,Supplier Name,Source Location,Carrier Name,Carrier Location,Status,Order Date,Expected Delivery Date,Actual Delivery Date,Total Items,Total Value (INR),Payment Status,Priority
PO10018,Sunrise Imports,Delhi,,,DELIVERED,2025-07-22,2025-07-25,2025-07-25,45,14188.03,PENDING,HIGH
PO10019,Global Trade Co.,Lucknow,,,OPEN,2025-08-14,2025-08-27,,24,10212.71,PENDING,HIGH
PO10020,Pacific Exports,Kolkata,India Post,Bengaluru,IN TRANSIT,2025-08-11,2025-08-24,,45,38440.92,PENDING,HIGH
PO10021,Pacific Exports,Kolkata,Delhivery,Lucknow,IN TRANSIT,2025-07-24,2025-08-04,,2,4094.73,PENDING,HIGH
PO10022,Atlas Manufacturing,Chennai,,,DELIVERED,2025-07-09,2025-07-17,2025-07-17,20,15130.18,PENDING,MEDIUM
PO10023,Pacific Exports,Chennai,BlueDart,Mumbai,IN TRANSIT,2025-06-27,2025-07-03,,45,48293.49,PENDING,HIGH
PO10024,Atlas Manufacturing,Kolkata,,,OPEN,2025-07-15,2025-07-30,,35,26982.99,PARTIALLY PAID,MEDIUM
PO10025,Sunrise Imports,Pune,,,OPEN,2025-07-18,2025-07-31,,2,18253.46,PARTIALLY PAID,HIGH
PO10026,Sunrise Imports,Bengaluru,,,DELIVERED,2025-07-31,2025-08-12,2025-08-12,25,21783.8,PARTIALLY PAID,HIGH
PO10027,Sunrise Imports,Hyderabad,,,OPEN,2025-07-05,2025-07-15,,6,25317.82,PAID,LOW
PO10028,Atlas Manufacturing,Lucknow,,,CANCELLED,2025-08-06,2025-08-20,,18,30199.51,PENDING,LOW
PO10029,Sunrise Imports,Chennai,,,OPEN,2025-07-17,2025-08-01,,8,24053.43,PAID,HIGH
PO10030,Sunrise Imports,Delhi,,,OPEN,2025-06-23,2025-06-26,,17,27502.49,PARTIALLY PAID,LOW
PO10031,Atlas Manufacturing,Kolkata,,,OPEN,2025-08-08,2025-08-17,,27,28341.06,PARTIALLY PAID,MEDIUM
PO10032,Global Trade Co.,Mumbai,,,OPEN,2025-06-20,2025-06-25,,10,47822.07,PAID,MEDIUM
PO10033,Sunrise Imports,Kolkata,,,OPEN,2025-06-21,2025-06-26,,16,12962.51,PENDING,MEDIUM
PO10034,Global Trade Co.,Hyderabad,,,OPEN,2025-07-22,2025-08-05,,26,47523.71,PAID,LOW
PO10035,Acme Supplies,Bengaluru,,,OPEN,2025-07-11,2025-07-18,,27,42175.79,PENDING,LOW
PO10036,Acme Supplies,Bengaluru,,,OPEN,2025-07-02,2025-07-05,,22,41428.3,PENDING,HIGH
PO10037,Global Trade Co.,Jaipur,,,CANCELLED,2025-06-24,2025-07-01,,24,36450.8,PARTIALLY PAID,HIGH
PO10038,Pacific Exports,Chennai,,,OPEN,2025-08-12,2025-08-27,,30,7174.42,PENDING,HIGH
PO10039,Acme Supplies,Ahmedabad,,,OPEN,2025-08-01,2025-08-10,,32,11864.1,PENDING,HIGH
PO10040,Global Trade Co.,Mumbai,FedEx,Bengaluru,IN TRANSIT,2025-06-30,2025-07-10,,25,24587.17,PARTIALLY PAID,MEDIUM
PO10041,Atlas Manufacturing,Bengaluru,Delhivery,Ahmedabad,IN TRANSIT,2025-06-28,2025-07-12,,23,26744.14,PARTIALLY PAID,HIGH
PO10042,Sunrise Imports,Jaipur,,,OPEN,2025-07-29,2025-08-01,,21,39025.5,PAID,HIGH
PO10043,Global Trade Co.,Chennai,Delhivery,Hyderabad,IN TRANSIT,2025-07-08,2025-07-13,,21,7987.4,PENDING,LOW
PO10044,Atlas Manufacturing,Hyderabad,,,DELIVERED,2025-06-28,2025-07-03,2025-07-03,3,6978.46,PAID,LOW
PO10045,Pacific Exports,Kolkata,DHL,Lucknow,IN TRANSIT,2025-07-28,2025-08-07,,12,25548.83,PAID,LOW
PO10046,Acme Supplies,Lucknow,,,OPEN,2025-06-24,2025-06-28,,15,37056.23,PARTIALLY PAID,LOW
PO10047,Pacific Exports,Hyderabad,,,OPEN,2025-07-17,2025-07-21,,49,35128.09,PENDING,HIGH
PO10048,Pacific Exports,Chennai,DHL,Jaipur,IN TRANSIT,2025-06-30,2025-07-15,,16,30188.9,PAID,MEDIUM
PO10049,Sunrise Imports,Hyderabad,,,OPEN,2025-07-14,2025-07-20,,14,48113.41,PARTIALLY PAID,LOW
PO10050,Global Trade Co.,Kolkata,,,OPEN,2025-06-29,2025-07-02,,35,28467.74,PENDING,MEDIUM
PO10051,Sunrise Imports,Pune,FedEx,Chennai,IN TRANSIT,2025-06-28,2025-07-07,,13,31802.42,PARTIALLY PAID,MEDIUM
PO10052,Sunrise Imports,Kolkata,,,OPEN,2025-07-26,2025-08-10,,21,31733.77,PAID,LOW
PO10053,Pacific Exports,Mumbai,,,OPEN,2025-08-05,2025-08-10,,40,10249.29,PAID,HIGH
PO10054,Atlas Manufacturing,Bengaluru,,,CANCELLED,2025-08-03,2025-08-11,,25,35130.42,PARTIALLY PAID,MEDIUM
PO10055,Atlas Manufacturing,Hyderabad,,,DELIVERED,2025-07-10,2025-07-19,2025-07-19,30,12451.73,PARTIALLY PAID,HIGH
PO10056,Pacific Exports,Chennai,,,OPEN,2025-06-27,2025-07-09,,45,40881.0,PARTIALLY PAID,LOW
PO10057,Atlas Manufacturing,Lucknow,,,DELIVERED,2025-06-25,2025-07-06,2025-07-06,23,18684.74,PENDING,LOW
PO10058,Acme Supplies,Delhi,,,OPEN,2025-07-18,2025-07-26,,34,3429.96,PAID,MEDIUM
PO10059,Acme Supplies,Mumbai,BlueDart,Pune,IN TRANSIT,2025-08-09,2025-08-23,,30,17410.11,PENDING,HIGH
PO10060,Sunrise Imports,Lucknow,,,OPEN,2025-07-31,2025-08-05,,9,42648.27,PARTIALLY PAID,HIGH
PO10061,Atlas Manufacturing,Chennai,,,DELIVERED,2025-08-06,2025-08-09,2025-08-09,43,24662.46,PAID,LOW
PO10062,Atlas Manufacturing,Delhi,,,OPEN,2025-08-06,2025-08-21,,49,37228.63,PARTIALLY PAID,MEDIUM
PO10063,Sunrise Imports,Hyderabad,,,OPEN,2025-06-25,2025-07-07,,4,28048.0,PAID,HIGH
PO10064,Pacific Exports,Hyderabad,,,CANCELLED,2025-07-10,2025-07-24,,13,33444.33,PAID,MEDIUM
PO10065,Atlas Manufacturing,Chennai,,,DELIVERED,2025-07-19,2025-07-23,2025-07-23,24,33355.91,PAID,LOW
PO10066,Global Trade Co.,Lucknow,,,DELIVERED,2025-07-24,2025-08-05,2025-08-05,18,15668.62,PAID,MEDIUM
PO10067,Acme Supplies,Hyderabad,,,OPEN,2025-06-20,2025-07-04,,23,39650.96,PENDING,LOW
PO10068,Global Trade Co.,Bengaluru,,,OPEN,2025-07-17,2025-08-01,,11,10392.04,PAID,MEDIUM
PO10069,Pacific Exports,Pune,,,OPEN,2025-07-21,2025-08-05,,48,40023.06,PAID,LOW
PO10070,Pacific Exports,Delhi,,,OPEN,2025-08-03,2025-08-17,,29,19029.51,PAID,MEDIUM
PO10071,Atlas Manufacturing,Delhi,,,OPEN,2025-06-21,2025-07-01,,26,25708.67,PAID,MEDIUM
PO10072,Acme Supplies,Chennai,,,OPEN,2025-07-28,2025-08-07,,39,2181.14,PENDING,LOW
PO10073,Atlas Manufacturing,Mumbai,,,DELIVERED,2025-07-08,2025-07-15,2025-07-15,31,16595.18,PENDING,MEDIUM
PO10074,Global Trade Co.,Lucknow,,,OPEN,2025-07-03,2025-07-12,,16,44881.68,PARTIALLY PAID,HIGH
PO10075,Global Trade Co.,Pune,,,OPEN,2025-07-30,2025-08-03,,7,31109.14,PARTIALLY PAID,MEDIUM
PO10076,Acme Supplies,Lucknow,Delhivery,Lucknow,IN TRANSIT,2025-08-12,2025-08-15,,27,45974.07,PENDING,LOW
PO10077,Pacific Exports,Pune,,,DELIVERED,2025-06-28,2025-07-08,2025-07-08,42,43609.18,PARTIALLY PAID,HIGH
PO10078,Acme Supplies,Mumbai,DTDC,Mumbai,IN TRANSIT,2025-07-09,2025-07-12,,33,5406.07,PAID,LOW
PO10079,Global Trade Co.,Lucknow,,,DELIVERED,2025-07-03,2025-07-15,2025-07-15,31,30756.76,PENDING,HIGH
PO10080,Pacific Exports,Ahmedabad,,,OPEN,2025-07-12,2025-07-18,,41,22944.57,PARTIALLY PAID,HIGH
PO10081,Atlas Manufacturing,Kolkata,,,OPEN,2025-07-16,2025-07-19,,24,5194.44,PENDING,MEDIUM
PO10082,Acme Supplies,Mumbai,,,DELIVERED,2025-06-23,2025-06-27,2025-06-27,33,24477.53,PARTIALLY PAID,MEDIUM
PO10083,Acme Supplies,Jaipur,,,OPEN,2025-07-23,2025-08-05,,9,16299.14,PAID,MEDIUM
PO10084,Global Trade Co.,Ahmedabad,,,OPEN,2025-06-26,2025-07-09,,2,46960.88,PARTIALLY PAID,LOW
PO10085,Acme Supplies,Pune,,,OPEN,2025-07-16,2025-07-26,,7,14784.2,PARTIALLY PAID,LOW
PO10086,Acme Supplies,Kolkata,,,OPEN,2025-07-31,2025-08-13,,3,11611.34,PAID,HIGH
PO10087,Global Trade Co.,Pune,,,OPEN,2025-08-13,2025-08-24,,33,26377.52,PAID,LOW
PO10088,Atlas Manufacturing,Kolkata,,,OPEN,2025-07-27,2025-08-04,,5,25610.69,PENDING,HIGH
PO10089,Sunrise Imports,Mumbai,,,OPEN,2025-07-30,2025-08-03,,30,20548.12,PARTIALLY PAID,HIGH
PO10090,Sunrise Imports,Delhi,DHL,Jaipur,IN TRANSIT,2025-07-02,2025-07-12,,30,37111.13,PARTIALLY PAID,MEDIUM
PO10091,Atlas Manufacturing,Ahmedabad,Delhivery,Bengaluru,IN TRANSIT,2025-07-17,2025-08-01,,34,49667.19,PAID,HIGH
PO10092,Acme Supplies,Ahmedabad,,,OPEN,2025-07-28,2025-08-07,,10,22466.45,PENDING,HIGH
PO10093,Sunrise Imports,Mumbai,,,OPEN,2025-06-30,2025-07-13,,45,28646.41,PENDING,HIGH
PO10094,Sunrise Imports,Lucknow,,,OPEN,2025-07-10,2025-07-21,,5,42866.66,PARTIALLY PAID,LOW
PO10095,Global Trade Co.,Kolkata,,,OPEN,2025-07-08,2025-07-14,,14,28713.35,PENDING,HIGH
PO10096,Atlas Manufacturing,Delhi,,,OPEN,2025-06-25,2025-07-05,,29,33107.2,PENDING,MEDIUM
PO10097,Global Trade Co.,Delhi,,,OPEN,2025-06-16,2025-06-19,,15,28904.58,PAID,LOW
PO10098,Acme Supplies,Lucknow,,,DELIVERED,2025-08-10,2025-08-25,2025-08-25,23,11465.24,PARTIALLY PAID,MEDIUM
PO10099,Acme Supplies,Bengaluru,,,OPEN,2025-07-16,2025-07-28,,23,23709.49,PARTIALLY PAID,LOW
PO10100,Global Trade Co.,Chennai,,,CANCELLED,2025-08-06,2025-08-16,,24,1048.72,PENDING,HIGH
PO10101,Acme Supplies,Lucknow,,,OPEN,2025-06-28,2025-07-05,,33,16216.43,PENDING,MEDIUM
PO10102,Atlas Manufacturing,Chennai,,,OPEN,2025-08-07,2025-08-16,,11,38029.13,PENDING,MEDIUM
PO10103,Acme Supplies,Delhi,,,OPEN,2025-08-05,2025-08-19,,46,14895.58,PAID,HIGH
PO10104,Pacific Exports,Hyderabad,,,CANCELLED,2025-08-05,2025-08-11,,35,35908.88,PARTIALLY PAID,LOW
PO10105,Acme Supplies,Delhi,,,OPEN,2025-07-04,2025-07-18,,50,6004.31,PARTIALLY PAID,HIGH
PO10106,Global Trade Co.,Lucknow,,,OPEN,2025-07-05,2025-07-11,,19,49953.86,PAID,LOW
PO10107,Global Trade Co.,Mumbai,BlueDart,Lucknow,IN TRANSIT,2025-08-09,2025-08-19,,40,44325.56,PAID,HIGH
PO10108,Global Trade Co.,Jaipur,Delhivery,Chennai,IN TRANSIT,2025-07-04,2025-07-14,,39,9955.89,PARTIALLY PAID,LOW
PO10109,Acme Supplies,Chennai,,,OPEN,2025-07-21,2025-07-25,,50,40309.01,PARTIALLY PAID,MEDIUM
PO10110,Pacific Exports,Ahmedabad,,,OPEN,2025-06-26,2025-07-07,,6,21806.72,PARTIALLY PAID,LOW
PO10111,Atlas Manufacturing,Kolkata,,,OPEN,2025-07-09,2025-07-14,,20,21020.05,PAID,HIGH
PO10112,Pacific Exports,Hyderabad,,,OPEN,2025-07-12,2025-07-26,,50,32152.23,PAID,MEDIUM
PO10113,Acme Supplies,Lucknow,,,DELIVERED,2025-07-27,2025-08-09,2025-08-09,1,4147.82,PENDING,HIGH
PO10114,Global Trade Co.,Delhi,BlueDart,Kolkata,IN TRANSIT,2025-06-16,2025-06-19,,22,45605.88,PARTIALLY PAID,HIGH
PO10115,Pacific Exports,Delhi,India Post,Pune,IN TRANSIT,2025-07-02,2025-07-15,,42,19440.11,PENDING,MEDIUM
PO10116,Pacific Exports,Hyderabad,,,DELIVERED,2025-07-22,2025-08-05,2025-08-05,31,47597.81,PENDING,MEDIUM
PO10117,Pacific Exports,Bengaluru,,,OPEN,2025-07-30,2025-08-03,,46,39188.64,PAID,LOW
PO10118,Sunrise Imports,Kolkata,,,OPEN,2025-06-23,2025-07-06,,41,4444.69,PENDING,LOW
PO10119,Sunrise Imports,Pune,,,OPEN,2025-07-27,2025-08-02,,5,23151.83,PENDING,MEDIUM
PO10120,Pacific Exports,Kolkata,,,OPEN,2025-07-27,2025-08-07,,50,12839.79,PAID,MEDIUM
